Article name,Topic cluster,Spec URL,Standards,Priority,Week,Complete?,Writer
text-overline,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-overline-color,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-overline-mode,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-overline-style,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-overline-width,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-script,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-underline,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-underline-color,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-underline-mode,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-underline-style,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-underline-width,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,A,,
text-height,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P2,A,,
all-space-treatment,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
block-progression,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
kerning-mode,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
kerning-pair-threshold,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
max-font-size,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
min-font-size,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
punctuation-trim,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
white-space-treatment,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
word-break-inside,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
wrap-option,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P2,B,,
alignment-adjust,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P2,B,,
shape-image-threshold,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
shape-inside,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
shape-margin,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
shape-outside,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
shape-padding,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
wrap-flow,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
wrap-through,text-wrapping properties,http://dev.w3.org/csswg/css3-exclusions/,ED,P2,B,,
writing-mode,,http://dev.w3.org/csswg/css3-writing-modes/,CR,P2,B,,
column-count,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-fill,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-gap,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-rule,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-rule-color,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-rule-style,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-rule-width,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-span,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
column-width,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
columns,multi-column layout properties,http://www.w3.org/TR/css3-multicol/,CR,P2,C,,
background-attachment,background properties,http://www.w3.org/TR/css3-background/,CSS2.1,P2,D,Reserved,
background-blend-mode,background properties,http://www.w3.org/TR/css3-background/,CSS2.1,P2,D,Reserved,
background-clip,background properties,http://www.w3.org/TR/css3-background/,CR,P2,D,Reserved,
background-composite,background properties,https://dvcs.w3.org/hg/FXTF/rawfile/tip/compositing/index.html#background-composite,ED,P2,D,Reserved,
border-collapse,border properties,D,CSS2,P2,D,Reserved,
border-spacing,border properties,,CSS2.1,P2,D,Reserved,
overflow-style,overflow properties,http://www.w3.org/TR/2008/WD-css3-marquee-20080801/,WD,P2,D,Reserved,
overflow-x,overflow properties,http://www.w3.org/TR/css3-box/,WD,P2,D,Reserved,
overflow-y,overflow properties,http://www.w3.org/TR/css3-box/,WD,P2,D,Reserved,
padding,padding properties,,CSS2.1,P2,E,Done,
padding-bottom,padding properties,,CSS2.1,P2,E,Done,
padding-right,padding properties,,CSS2.1,P2,E,Done,
padding-top,padding properties,,CSS2.1,P2,E,Done,
bottom,positioning properties,,CSS2.1,P2,E,Ready,
clear,positioning properties,,CSS2,P2,E,Ready,
float,positioning properties,,CSS2,P2,E,Ready,
left,positioning properties,,CSS2.1,P2,E,Ready,
right,positioning properties,,CSS2.1,P2,E,Ready,
top,positioning properties,,CSS2.1,P2,E,Ready,
height,size properties,,CSS2.1,P2,E,Ready,
max-height,size properties,,CSS2.1,P2,E,,
max-width,size properties,,CSS2.1,P2,E,,
min-height,size properties,,CSS2.1,P2,E,,
min-width,size properties,,CSS2.1,P2,E,,
width,size properties,,CSS2,P2,E,Done,
alignment-baseline,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P2,E,,
baseline-shift,text-line properties,http://dev.w3.org/csswg/css3-linebox/,WD,P2,E,,
vertical-align,text-line properties,http://dev.w3.org/csswg/css3-linebox/,CSS2.1,P2,E,,
content,,http://dev.w3.org/csswg/css3-ui/,CSS2.1,P2,E,,
direction,,http://dev.w3.org/csswg/css3-writing-modes/,CSS2,P2,E,In progress,
orphans,,,CSS2.1,P2,E,,
break-after,,,CSS2.1,P2,E,Done,
break-before,,,CSS2.1,P2,E,Done,
break-inside,,,CSS2.1,P2,E,Done,
table-layout,,,CSS2.1,P2,E,,
mask,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-box-image,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-box-image-outset,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-box-image-repeat,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-box-image-slice,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-box-image-source,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-box-image-width,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-clip,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-image,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-origin,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-position,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
mask-repeat,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,F,,
counter-increment,counter properties,,CSS2.1,P2,G,,
counter-reset,counter properties,,CSS2.1,P2,G,,
region-fragment,region properties,http://dev.w3.org/csswg/css3-regions/,ED,P2,G,,
box-decoration-break,,http://www.w3.org/TR/css3-background/,CR,P2,G,,
caption-side,,,CSS2,P2,G,,
clip,,,CSS2,P2,G,,
clip-path,,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,G,,
clip-rule,,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P2,G,,
empty-cells,,,CSS2,P2,G,,
knock-out,,https://dvcs.w3.org/hg/FXTF/rawfile/tip/compositing/index.html,ED,P2,G,,
opacity,,http://www.w3.org/TR/css3-color/,REC,P2,G,,
quotes,,,CSS2.1,P2,G,,
unicode-bidi,,http://dev.w3.org/csswg/css3-writing-modes/,CR,P2,G,In progress,
unicode-range,,http://dev.w3.org/csswg/css3-fonts/,ED,P2,G,,
visibility,,,CSS2.1,P2,G,,
widows,,,CSS2.1,P2,G,,
z-index,,,CSS2,P2,G,Ready,
align-content,flexbox layout properties,http://www.w3.org/TR/css3-flexbox/,CR,P2,,,
align-items,flexbox layout properties,http://www.w3.org/TR/css3-flexbox/,CR,P2,,,
align-self,flexbox layout properties,http://www.w3.org/TR/css3-flexbox/,CR,P2,,,
wrap-margin,,,N,P3,B,,
mask-size,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P3,F,,
mask-type,mask properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/masking/index.html,ED,P3,F,,
color-correction,color properties,http://dev.w3.org/csswg/css-color-correction/,ED,P3,,,
color-interpolation,color properties,,ED,P3,,,
color-rendering,color properties,,ED,P3,,,
color-interpolation-filters,filter properties,https://dvcs.w3.org/hg/FXTF/raw-file/tip/filters/index.html,ED,P3,,,
font-kerning,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-language-override,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-stretch,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-synthesis,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-variant-alternates,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-variant-caps,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-variant-east-asian,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-variant-ligatures,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-variant-numeric,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
font-variant-position,font properties,http://dev.w3.org/csswg/css3-fonts/,ED,P3,,,
image-orientation,image properties,http://dev.w3.org/csswg/css3-images/,ED,P3,,,
image-rendering,image properties,http://dev.w3.org/csswg/css4-images/,ED,P3,,,
image-resolution,image properties,http://dev.w3.org/csswg/css3-images/,ED,P3,,,
object-fit,image properties,http://dev.w3.org/csswg/css3-images/,ED,P3,,,
object-position,image properties,http://dev.w3.org/csswg/css3-images/,ED,P3,,,
marker,marker properties,http://www.w3.org/TR/SVG2/painting.html,SVG 1.1,P3,,,
marker-end,marker properties,http://www.w3.org/TR/SVG2/painting.html,SVG2,P3,,,
marker-mid,marker properties,http://www.w3.org/TR/SVG2/painting.html,SVG2,P3,,,
marker-start,marker properties,http://www.w3.org/TR/SVG2/painting.html,SVG2,P3,,,
nav-down,navigation properties,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
nav-index,navigation properties,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
nav-left,navigation properties,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
nav-right,navigation properties,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
nav-up,navigation properties,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
ruby-align,ruby properties,http://www.w3.org/TR/css3-ruby/,WD,P3,,,
ruby-overhang,ruby properties,http://www.w3.org/TR/css3-ruby/,WD,P3,,,
ruby-position,ruby properties,http://www.w3.org/TR/css3-ruby/,WD,P3,,,
ruby-span,ruby properties,http://www.w3.org/TR/css3-ruby/,WD,P3,,,
cue,speech properties,http://www.w3.org/TR/css3-speech/,CR,P3,,,
cue-after,speech properties,http://www.w3.org/TR/css3-speech/,CR,P3,,,
